Year Q,Year Frac,Min MinTemp,Max MaxTemp,Avg MinTemp,Avg MaxTemp
2007.4,2007.75,6.10,35.00,12.55,25.09
2008.1,2008,4.20,35.80,14.94,25.93
2008.2,2008.25,-2.70,28.70,8.21,18.66
2008.3,2008.5,-5.30,37.00,8.85,19.22
2008.4,2008.75,-1.00,40.90,15.03,25.43
2009.1,2009,0.70,46.80,16.47,28.41
2009.2,2009.25,-8.50,35.70,10.00,19.99
2009.3,2009.5,-6.30,37.40,8.15,18.73
2009.4,2009.75,-3.60,45.40,14.16,26.05
2010.1,2010,-0.60,45.70,17.20,28.57
2010.2,2010.25,-8.00,36.00,9.99,20.16
2010.3,2010.5,-7.10,35.40,7.80,17.55
2010.4,2010.75,-5.50,42.10,13.53,24.22
2011.1,2011,0.90,48.10,17.19,27.56
2011.2,2011.25,-6.90,33.00,8.00,18.01
2011.3,2011.5,-8.20,35.80,7.79,18.55
2011.4,2011.75,-3.40,43.60,13.83,24.64
2012.1,2012,-1.30,43.00,16.35,27.17
2012.2,2012.25,-6.30,38.90,9.44,19.94
2012.3,2012.5,-6.80,38.80,7.25,18.44
2012.4,2012.75,-4.50,45.50,12.24,24.62
2013.1,2013,0.60,46.50,16.75,28.70
2013.2,2013.25,-5.50,39.40,10.19,20.64
2013.3,2013.5,-6.50,39.40,8.82,19.82
2013.4,2013.75,-5.00,45.10,13.49,25.89
2014.1,2014,0.90,47.30,16.88,28.85
2014.2,2014.25,-5.10,39.70,10.88,20.76
2014.3,2014.5,-7.60,39.10,7.72,18.95
2014.4,2014.75,-4.50,45.30,14.18,26.62
2015.1,2015,-0.80,45.40,16.71,28.40
2015.2,2015.25,-7.00,38.30,9.91,19.89
2015.3,2015.5,-8.20,37.50,7.42,18.24
2015.4,2015.75,-2.00,44.80,14.86,27.56
2016.1,2016,-0.50,45.10,17.50,28.98
2016.2,2016.25,-7.80,38.60,11.05,21.08
2016.3,2016.5,-7.50,39.00,8.35,18.12
2016.4,2016.75,-4.80,42.90,13.28,25.50
2017.1,2017,-1.60,47.30,17.38,29.08
2017.2,2017.25,-5.90,36.80,9.83,20.78
